longitude,latitude,FIRE_DATE,FIRE_CAUSE,FIRE_SIZE_HECTARES,FIRE_YEAR
-123.7487798703127,52.67126385022228,2017-07-07,Lightning,520885.2,2017
-123.7487798703127,52.67126385022228,2017-07-07,Lightning,520885.2,2017
-123.7487798703127,52.67126385022228,2017-07-07,Lightning,520885.2,2017
-120.84938368142409,53.124128343913135,2017-07-07,Lightning,588.7,2017
-121.64552305530205,52.79295503156023,2017-07-07,Lightning,4.2,2017
-123.95054675774631,53.17856631606232,2017-07-07,Lightning,259.9,2017
-124.09692634786951,53.23492706713034,2017-07-10,Lightning,21870.4,2017
-120.81323706174747,53.14716601896103,2017-07-07,Lightning,226.3,2017
-124.1861771563852,53.086259421500166,2017-07-17,Lightning,1.7,2017
-124.69739553352298,52.753225136677905,2017-07-19,Lightning,1.9,2017
-121.60522330228405,52.75764174356617,2017-07-07,Lightning,17.7,2017
-121.60522330228405,52.75764174356617,2017-07-07,Lightning,17.7,2017
-122.33094431546995,51.56151641443582,2017-05-31,Person,4.1,2017
-122.07928424284997,52.05238246351688,2017-06-22,Person,0.1,2017
-121.99421701125465,51.74073169805121,2017-06-16,Lightning,25.9,2017
-122.8910959664556,52.010363550257516,2017-06-26,Person,41.6,2017
-121.91784001348823,52.06600451063188,2017-06-30,Person,0.9,2017
-121.75519322498313,52.169730151548336,2017-07-07,Person,3387.4,2017
-122.01251543666343,52.20610241773435,2017-07-07,Lightning,12723.0,2017
-122.31226019575185,52.21546861487782,2017-07-07,Lightning,13211.7,2017
-122.23209040590612,52.29564920343615,2017-07-07,Lightning,278.3,2017
-121.97144629232137,52.35027484869444,2017-07-07,Lightning,14.0,2017
-121.87398723008272,52.46979641407304,2017-07-07,Lightning,0.1,2017
-121.87191462414586,52.46402443985997,2017-07-07,Lightning,0.0,2017
-121.83709196285918,52.433326697850156,2017-07-07,Lightning,3.0,2017
-121.80451286341685,52.41441521604414,2017-07-07,Lightning,1.8,2017
-121.78464261585151,52.40467246374992,2017-07-07,Lightning,27.4,2017
-122.15748525464102,51.529601921382834,2017-07-20,Lightning,2.0,2017
-121.73081946380442,52.45127432125654,2017-07-08,Lightning,859.3,2017
-121.80090627114627,52.44870721446971,2017-07-07,Lightning,78.4,2017
